rain[mm]	 temperature[°C]	 irradiance[mümol/s/m2]	 day_length[h]	 PET[mm]	co2[ppm]
14.2	26.2	674.8	12	2.7	400
1.3	20	906.4	12	2.4	400
0	25.8	775.6	12	2.6	400
10.1	23.8	921.6	12	2.6	400
15.6	23.5	797.8	12	2.5	400
0	24.2	696	12	2.6	400
2.8	21.8	713.8	12	2.5	400
0	28.9	899.4	12	2.8	400
23.8	24.5	912.4	12	2.6	400
0	25.4	885.6	12	2.6	400
25.2	19.5	680.6	12	2.4	400
29.4	24.8	806.2	12	2.6	400
9	30.4	1046.8	12	2.8	400
10.8	27.3	952.2	12	2.7	400
0	23.2	792.7	12	2.5	400
11.6	24	784.5	12	2.6	400
0	17.6	798.8	12	2.3	400
6.5	21	922.4	12	2.5	400
0	22	670.4	12	2.5	400
0	20	846.3	12	2.4	400
11.9	23.9	793.6	12	2.6	400
0	23.9	712.5	12	2.6	400
13.5	24.7	719.4	12	2.7	400
10.9	23.8	826.2	12	2.6	400
0	20	785.2	12	2.5	400
1	21.7	795.8	12	2.5	400
19.1	25.4	849.8	12	2.7	400
0.9	27	780.5	12	2.8	400
11	23.6	849.8	12	2.7	400
2.4	24.3	914.7	12	2.7	400
13.1	23.3	779.5	12	2.7	400
0	19.9	857.7	12	2.5	400
6.7	23.1	715.7	12	2.7	400
0	28.6	919.8	12	2.9	400
7.6	22.2	798	12	2.7	400
4	25.6	802	12	2.8	400
11.3	23.2	889.8	12	2.7	400
0	20.3	726.8	12	2.6	400
0	23.7	734.9	12	2.8	400
21.7	25.4	900.2	12	2.9	400
1.9	23	713.4	12	2.8	400
10.1	24.1	1007.3	12	2.8	400
0	24.2	911	12	2.9	400
12.1	17	941.4	12	2.5	400
4.7	26.3	860.7	12	3	400
0	25.1	1134.8	12	2.9	400
5.2	23.3	809.9	12	2.9	400
0	25.2	1080.8	12	3	400
4.6	25.9	921	12	3	400
1.1	24	765.5	12	3	400
21.5	22.1	777.6	12	2.9	400
0	26.8	774.3	12	3.1	400
5	24.7	811.2	12	3	400
15	28.8	843	12	3.3	400
0	27.3	972.2	12	3.2	400
12.3	28.3	882.9	12	3.3	400
0	23.9	933.8	12	3.1	400
5.7	25.5	940	12	3.2	400
0	23.5	924.7	12	3.1	400
11	23.8	910.7	12	3.1	400
0	22.6	902	12	3.1	400
12.1	21.5	974.7	12	3	400
0	24.5	812.5	12	3.2	400
14.4	22.7	924.2	12	3.1	400
0.7	25.9	812.4	12	3.3	400
19.4	23.7	1082.2	12	3.2	400
16.3	24.5	858.6	12	3.3	400
5.3	22.1	944.5	12	3.2	400
0	22.1	1024.9	12	3.2	400
3.9	19.9	787.1	12	3.1	400
33.4	25.3	986.8	12	3.4	400
0	24.9	994.6	12	3.4	400
5	24.6	733.8	12	3.4	400
0	23.4	1116.3	12	3.3	400
16.5	21.3	855.5	12	3.2	400
6.2	24.3	948.4	12	3.4	400
0	23.1	973.7	12	3.4	400
3.7	24.2	795.8	12	3.5	400
0	23.8	804.9	12	3.5	400
22.2	23.6	675	12	3.5	400
22.6	24.9	1006.2	12	3.6	400
1.9	25.3	869.6	12	3.6	400
0	24.8	820.1	12	3.6	400
1.1	23.8	809	12	3.5	400
28.4	18.7	845.2	12	3.2	400
0	23.1	957.8	12	3.5	400
13.6	26.2	1184.3	12	3.7	400
0.2	26.5	871.8	12	3.8	400
0	24.9	936.7	12	3.7	400
8.9	25.1	1003.4	12	3.7	400
1.1	24.8	870.9	12	3.7	400
0	26.2	941.4	12	3.8	400
8.3	26.2	1075.3	12	3.8	400
0	22.4	1132.6	12	3.6	400
6	20.2	1126.2	12	3.5	400
0	22.7	887.9	12	3.7	400
23.8	22.9	847.6	12	3.7	400
0	24.1	863.8	12	3.8	400
2.1	23.4	1043.4	12	3.8	400
3.9	20.7	1059.8	12	3.6	400
6.3	22.6	1182.7	12	3.8	400
0	23.2	856.2	12	3.8	400
0	24.5	1179	12	3.9	400
7.4	27.7	1061.7	12	4.1	400
0	26.9	778.6	12	4.1	400
0	23.5	1061.7	12	3.9	400
0	25.1	1061.2	12	4	400
3.2	27.7	1194.9	12	4.2	400
51.6	30.4	1096.5	12	4.4	400
0	24.6	962.3	12	4	400
23.1	24.8	959.4	12	4.1	400
0	21.8	999.4	12	3.9	400
0	21.8	1008.2	12	3.9	400
0	22.6	1049.1	12	3.9	400
0	25.3	1084.8	12	4.1	400
1.3	27.6	947.4	12	4.3	400
1.9	25.1	868.2	12	4.2	400
0	23.6	1019.6	12	4.1	400
6	19.2	1193.2	12	3.8	400
0	18.6	1079.4	12	3.7	400
0	23.2	1059	12	4.1	400
2.6	25.7	1041.7	12	4.3	400
0	22.3	1075.2	12	4	400
0	24.8	1040	12	4.2	400
11	22.6	910.5	12	4.1	400
0	24.7	1375.5	12	4.2	400
17.6	20.1	958.2	12	3.9	400
0	25	1264.1	12	4.3	400
0	28.5	1350.3	12	4.5	400
18.6	23.1	1170.5	12	4.2	400
0	21.4	775.9	12	4.1	400
3.3	26.2	1106.1	12	4.4	400
0	22.5	869	12	4.2	400
0	23.2	1141.6	12	4.2	400
0	23.7	1140.8	12	4.3	400
2.8	24.5	1062.9	12	4.3	400
0	25.4	1296.8	12	4.4	400
31.9	19.8	1239.4	12	4	400
24.5	19.1	1212.3	12	3.9	400
0	22.7	1120.4	12	4.2	400
2.4	22.5	1316.3	12	4.2	400
0	26.5	1034.2	12	4.5	400
0	24.1	1285.5	12	4.3	400
0	27	1265	12	4.6	400
0	23.7	1237.1	12	4.3	400
5.1	23.2	939.3	12	4.3	400
0	26.2	1002.4	12	4.5	400
13.5	21.9	1307	12	4.2	400
0	20.4	1096.7	12	4.1	400
10.1	25.6	1111.8	12	4.5	400
0	25.3	1047	12	4.5	400
5.5	26	1172.1	12	4.5	400
0	26.1	1304.4	12	4.6	400
5.5	22.4	1031.7	12	4.3	400
0	25.4	1094	12	4.5	400
0	26.9	1082.9	12	4.6	400
0	23.9	1282.3	12	4.4	400
10.3	23.9	1210.6	12	4.4	400
7.3	21.9	1155.5	12	4.3	400
0	24.8	1265.7	12	4.5	400
0	23.9	1174.6	12	4.4	400
0	23.1	1126.1	12	4.4	400
16.8	23.5	1170	12	4.4	400
0	24.6	1175.7	12	4.5	400
0	24.4	1083.7	12	4.5	400
0	29.6	1175.7	12	4.8	400
11.2	23.1	1061.8	12	4.4	400
0	24.8	1099.4	12	4.5	400
4.3	25.1	1248.3	12	4.5	400
0	24.2	1194	12	4.5	400
13.9	20.2	1159	12	4.2	400
0	26	1147.5	12	4.6	400
0	23	1027.1	12	4.4	400
0	25.3	1224.4	12	4.6	400
27.5	24.3	1298.7	12	4.5	400
3.8	25.1	1072.9	12	4.5	400
0	21.5	1348.1	12	4.3	400
0	27.3	1341.6	12	4.7	400
0.1	25.3	1123.7	12	4.6	400
12.4	20.9	928.1	12	4.2	400
10.5	23.6	1061.8	12	4.4	400
0	24.6	1112.1	12	4.5	400
0	23.4	1220.2	12	4.4	400
19.3	20.4	1126	12	4.2	400
0	24.3	1189.3	12	4.5	400
0	25	1091.4	12	4.6	400
0	22.7	1023.2	12	4.4	400
0	23.1	1302	12	4.4	400
0	25.5	1270.7	12	4.6	400
3.3	22.5	1207.4	12	4.4	400
2.8	25.7	1151.3	12	4.6	400
0	27.2	972.6	12	4.7	400
0	28.2	1341	12	4.8	400
2.6	21.8	939.9	12	4.3	400
0	24.9	1071.2	12	4.5	400
0.3	27.9	1032.3	12	4.8	400
25.8	23.7	1510.5	12	4.5	400
0	26	1295	12	4.6	400
16.8	25.2	1193.1	12	4.6	400
0	26.4	1059.7	12	4.7	400
14.4	25.9	1189.6	12	4.6	400
0	20.3	1157.4	12	4.2	400
23	21.3	1136.2	12	4.3	400
0	23.6	1053.2	12	4.4	400
0	22.8	1177.5	12	4.4	400
6.2	26	1175.7	12	4.6	400
0	23	1222.2	12	4.4	400
0	23.4	1368.7	12	4.4	400
26.8	24.7	1214	12	4.5	400
0	25.5	1192.8	12	4.6	400
0	20.3	1221.9	12	4.2	400
5.9	29.6	1233.5	12	4.8	400
51.1	23.1	997.5	12	4.4	400
42.2	23.1	1261.2	12	4.4	400
0	20.6	1131.5	12	4.2	400
27.2	23.4	1066.3	12	4.4	400
7.9	22.5	1190.3	12	4.3	400
2.8	19.4	1227.2	12	4.1	400
1.7	23.6	1110.3	12	4.4	400
6.8	27.9	1222.6	12	4.7	400
0	25.2	991.2	12	4.5	400
13.8	25.3	1263.2	12	4.5	400
0	22.3	1184	12	4.3	400
14.2	25	1467.1	12	4.5	400
1.3	24.9	1148.9	12	4.5	400
0	21.9	1335.3	12	4.2	400
0	26	1072.4	12	4.5	400
3.6	19.6	1161	12	4.1	400
36.3	22.8	958.4	12	4.3	400
5.1	24.2	1149.2	12	4.4	400
9.1	25.4	1299.8	12	4.5	400
5.3	22.5	1071.3	12	4.3	400
27.5	18.7	1133.9	12	4	400
7.2	20.1	1025	12	4.1	400
4.5	22.7	1038	12	4.3	400
0	22.6	969.7	12	4.2	400
0	21.8	1065.5	12	4.2	400
0.9	28.6	1363	12	4.6	400
18.6	27.6	1071.2	12	4.6	400
63	24.4	1206.8	12	4.3	400
13.8	21.6	1087.7	12	4.1	400
0	25.2	1098.2	12	4.4	400
0	25.7	1181.9	12	4.4	400
2.2	19.8	1157.3	12	4	400
0	21.3	917	12	4.1	400
0.7	23.5	1206.8	12	4.2	400
27.4	24.4	1257.9	12	4.3	400
10	23.1	1117.8	12	4.2	400
25.4	25.8	1194.8	12	4.3	400
38.9	22.4	1092	12	4.1	400
3.6	26	1233.3	12	4.3	400
0	22.5	1097.1	12	4.1	400
14.6	20.7	1048.2	12	3.9	400
0	25.3	1151.8	12	4.3	400
13.7	21.3	1031.4	12	4	400
15	25.6	993.5	12	4.3	400
0.7	21.4	977.3	12	3.9	400
33	25.8	1246.8	12	4.2	400
0	24.4	841.4	12	4.1	400
13.3	21.2	1204.9	12	3.9	400
0	22	1205.3	12	3.9	400
9.2	22.2	997	12	3.9	400
10.1	23.9	1270	12	4	400
66.5	20.1	916.6	12	3.8	400
48.3	20	765.4	12	3.7	400
7.6	23.8	932	12	4	400
0	22	1102.9	12	3.9	400
0.8	23.4	1018.3	12	3.9	400
0	22.7	949.1	12	3.9	400
0	26.2	891.5	12	4.1	400
17.3	21.6	1087.9	12	3.8	400
15.8	25.9	1084.1	12	4	400
7.9	26.5	1093.1	12	4.1	400
0	26.3	1067.1	12	4	400
30.5	22.5	1030	12	3.8	400
30.4	27	969.8	12	4	400
23.7	28	1154.5	12	4.1	400
10	28.5	986.2	12	4.1	400
0	20.6	1044.7	12	3.6	400
0	22.3	956.7	12	3.7	400
0	22.4	793.5	12	3.7	400
3.2	19.8	1054.9	12	3.5	400
0	20.5	1178.1	12	3.5	400
0	25.9	1056.5	12	3.8	400
21	19.3	1090.8	12	3.4	400
0	22.9	917.1	12	3.6	400
24.8	25.1	949.9	12	3.7	400
3.2	22.1	769.5	12	3.5	400
0	20.1	850.3	12	3.4	400
36.2	26.6	767	12	3.7	400
0	22.7	1054.9	12	3.5	400
2	23.4	883	12	3.5	400
25.7	23.7	1008.8	12	3.5	400
0	27.1	866.6	12	3.7	400
8.4	23.1	1042.8	12	3.4	400
0	24.3	750.6	12	3.5	400
2	23.1	1079.2	12	3.4	400
0	19.7	994.5	12	3.2	400
0	24.2	818.4	12	3.4	400
15.7	21.1	990.9	12	3.2	400
0	23.2	855.3	12	3.3	400
30.6	21.3	915.5	12	3.2	400
15.2	28.8	867.4	12	3.6	400
20.5	28	1022.7	12	3.5	400
6.3	27.9	835.5	12	3.5	400
34.7	26.7	915.8	12	3.4	400
0	22.8	1012.9	12	3.2	400
22.1	23	1016.5	12	3.2	400
0.7	19.5	882.6	12	3	400
0	23.9	861.3	12	3.2	400
0	25.9	978.3	12	3.3	400
27.3	23.2	944.4	12	3.1	400
0	24.2	973.2	12	3.2	400
20.7	21.3	1028.6	12	3	400
6.2	23.9	1009.7	12	3.1	400
8.5	24	733.5	12	3.1	400
0	21.2	861.7	12	2.9	400
22	22.7	718.3	12	3	400
0	22.2	862.2	12	3	400
36	19.3	782.7	12	2.8	400
3.2	23.5	885.3	12	3	400
1.9	22	868.6	12	2.9	400
29.2	23.3	894.4	12	3	400
0	26.4	780.1	12	3.1	400
30.6	23.3	778.7	12	2.9	400
34.1	22.5	880.7	12	2.9	400
0	28	887.4	12	3.1	400
3.4	23.3	886.3	12	2.9	400
0	23.2	941.1	12	2.9	400
14.2	26.8	842.7	12	3	400
0	24.6	756.5	12	2.9	400
2.5	23.2	937.7	12	2.8	400
24.8	23.5	996.2	12	2.8	400
12.4	26	908.5	12	2.9	400
17.6	23.4	772	12	2.8	400
32.5	21.4	867.4	12	2.7	400
17.7	25.8	772.5	12	2.9	400
4.4	26.7	799.2	12	2.9	400
0	24.4	689.8	12	2.8	400
0	24.6	1015.6	12	2.8	400
28.6	26.7	878.3	12	2.9	400
0	21.8	849.7	12	2.6	400
1.7	23.9	889.2	12	2.7	400
0	26.2	820.1	12	2.8	400
0	29.2	757.3	12	2.9	400
0.2	22.2	785.2	12	2.6	400
0	24.4	883.7	12	2.7	400
11.6	24.2	844.4	12	2.7	400
0	28.8	899.5	12	2.9	400
11.4	22.7	759.1	12	2.6	400
12.7	22	718.8	12	2.5	400
0	26.8	755.3	12	2.7	400
24	22.4	824	12	2.5	400
14.7	24.1	768.1	12	2.6	400
1.6	24.1	826	12	2.6	400
5.7	25.4	976.5	12	2.7	400
0	23.5	642.4	12	2.6	400
4.3	25.2	611.1	12	2.6	400
44.5	24.5	915.3	12	2.6	400
0	24.4	782.1	12	2.6	400
15	23	828.5	12	2.5	400
18.5	24.1	727.8	12	2.6	400
0	18.8	998.4	12	2.3	400
24.5	22.7	905	12	2.5	400
0	23.7	852.8	12	2.6	400
0	23.7	830.3	12	2.5	400
1.3	26.8	724.1	12	2.7	400
9.3	30	843.2	12	2.8	400
0	22.7	728	12	2.5	400
4.5	26.2	742.7	12	2.7	400
0	22.7	654.9	12	2.5	400
65.2	22.4	756.6	12	2.5	400
0	23.9	697.7	12	2.6	400
0	22.2	883.7	12	2.5	400
6.2	19.5	814.9	12	2.4	400
3.4	26.6	805.7	12	2.7	400
0	25.5	753.5	12	2.6	400
29.6	22.9	814.3	12	2.5	400
0	24.7	821.7	12	2.6	400
13.4	19.4	843.4	12	2.4	400
0	23.4	677.9	12	2.6	400
30.1	25.3	778.3	12	2.6	400
6.4	20.1	722.2	12	2.4	400
0	21.1	633.8	12	2.5	400
2.5	26.3	884	12	2.7	400
7.2	23.5	689.8	12	2.6	400
17.2	22.9	774.9	12	2.6	400
0	25.5	872.5	12	2.7	400
3	24.2	867.3	12	2.6	400
0	21.1	796.6	12	2.5	400
0	22.3	785.5	12	2.6	400
0	20.6	926.2	12	2.5	400
10.5	27.2	842.7	12	2.8	400
21.8	25.7	836.5	12	2.8	400
0.3	23.4	860.3	12	2.7	400
20.6	24.4	824.4	12	2.7	400
0	24	816.1	12	2.7	400
1.6	17	971.4	12	2.4	400
19.5	24.9	916.3	12	2.8	400
19.6	23.1	960.5	12	2.7	400
7.5	21.2	714.5	12	2.6	400
0	23.1	753.5	12	2.7	400
0	25	1085.7	12	2.8	400
18	28.4	871.3	12	3	400
13.2	23	978.6	12	2.8	400
6.3	25.4	800.5	12	2.9	400
0	27.1	850.5	12	3	400
0	26.9	1001.6	12	3	400
0	27.6	875.3	12	3	400
8.4	25.6	848.1	12	3	400
8.2	24.7	916.3	12	2.9	400
0	24.1	1021.7	12	2.9	400
10.8	24	823.4	12	2.9	400
2.5	23.6	1067.7	12	2.9	400
0	26	879.3	12	3.1	400
3.7	23.6	872.1	12	3	400
84.2	21.2	799	12	2.8	400
0	22.7	812.5	12	2.9	400
0	22.2	924	12	2.9	400
0	24.4	728.6	12	3.1	400
15.4	23.4	1027.3	12	3	400
0	19.8	720.9	12	2.8	400
9.6	23.7	753.6	12	3.1	400
6.4	26.2	774.9	12	3.2	400
0	26.6	891.3	12	3.3	400
5.3	24.9	904.7	12	3.2	400
0	24.3	964.8	12	3.2	400
0	28.5	961.2	12	3.4	400
0.3	24.5	780.4	12	3.2	400
17.7	22.6	970.1	12	3.1	400
4.1	29.8	997.1	12	3.5	400
0.1	26.9	844.5	12	3.4	400
6.5	23.7	917.3	12	3.3	400
24.8	24.6	826.6	12	3.3	400
4.8	19.5	895.2	12	3	400
0	23.8	903.9	12	3.3	400
0	21.7	902.6	12	3.2	400
31.8	26.7	853.7	12	3.5	400
0	25.5	994.1	12	3.5	400
5.6	22.6	939.7	12	3.3	400
0	19	934.6	12	3.1	400
9.5	28.4	970.4	12	3.7	400
0	24.8	1076.4	12	3.5	400
11.6	24.1	997	12	3.5	400
41.7	21.4	980.5	12	3.3	400
0.3	22.4	1067.2	12	3.4	400
0	23.4	902.8	12	3.5	400
14.7	25.1	816.6	12	3.6	400
19	26.2	1224.9	12	3.7	400
0	24.2	1056.3	12	3.6	400
0	22	986	12	3.5	400
10.1	22.3	1112.9	12	3.5	400
8.1	25.8	1094.9	12	3.7	400
5.3	21.4	924.7	12	3.5	400
0	22	909.2	12	3.5	400
9.5	25	1061.1	12	3.7	400
1.6	18.9	1057.1	12	3.4	400
0	24.1	1107.7	12	3.7	400
3.9	26.5	1123	12	3.9	400
0	20.9	1018.8	12	3.6	400
5.5	22.9	1134.8	12	3.7	400
0	21.7	968.8	12	3.6	400
0.7	20.2	1123.4	12	3.5	400
28.3	24.9	1039.3	12	3.9	400
0	21.1	722.1	12	3.6	400
2.3	26.2	1163.6	12	4	400
18.7	22.9	1073.8	12	3.8	400
6.2	22.9	1124.9	12	3.8	400
0	22.5	992.6	12	3.8	400
14.7	26.3	934.8	12	4.1	400
0	26.6	1131.9	12	4.1	400
0	25.6	1059.7	12	4	400
17.6	25.9	1210.1	12	4.1	400
0	26.4	950.8	12	4.1	400
0	25	1173.5	12	4.1	400
0	24.3	1117.3	12	4	400
19.6	22.8	1120.6	12	3.9	400
0	17.1	992.5	12	3.5	400
0	26.5	945.6	12	4.2	400
14.3	20.9	1025.5	12	3.8	400
3.9	22.4	1145.8	12	4	400
1.9	21.2	1084.8	12	3.9	400
0	22.6	1237.9	12	4	400
2.1	26.3	1008.5	12	4.3	400
7.8	24.6	1006	12	4.2	400
0	21.4	887.7	12	3.9	400
19.7	21.9	932.5	12	4	400
0	26.3	959.9	12	4.3	400
0	30.4	1108.1	12	4.6	400
3.6	23.5	1102.6	12	4.1	400
0	22.9	1082.8	12	4.1	400
8.3	23.1	941.6	12	4.1	400
0	19.6	1143.9	12	3.9	400
27.3	26.4	1050.9	12	4.4	400
0	24.8	811.1	12	4.3	400
31.5	24.5	1133.1	12	4.3	400
0	22.8	1156.2	12	4.2	400
0.4	23.3	1216.3	12	4.2	400
0	26.1	991	12	4.4	400
2.3	26	1199.1	12	4.4	400
0	21	1031.1	12	4.1	400
21.3	24.4	907.8	12	4.3	400
3.7	25.9	1227.2	12	4.4	400
0	26.6	1029	12	4.5	400
26.7	24.8	1133.4	12	4.4	400
8.3	24.8	1197.7	12	4.4	400
0	25.4	1159.2	12	4.4	400
0	27.4	1271.6	12	4.6	400
42.9	21.2	973.2	12	4.1	400
17	22.2	1043	12	4.2	400
0	21.3	874.5	12	4.2	400
2.6	25.5	1179.7	12	4.5	400
0.8	26.6	1007.7	12	4.6	400
4	23.1	1176.6	12	4.3	400
0	21.8	1451.6	12	4.2	400
8.6	24.9	1113.9	12	4.4	400
0	24.6	1186.5	12	4.4	400
54	22.3	1015.5	12	4.3	400
2.1	23.6	1014.3	12	4.4	400
0	23.4	968.5	12	4.4	400
5.6	20.9	1118	12	4.2	400
0	25.5	1066.1	12	4.5	400
3.9	20.9	1028	12	4.2	400
0	23.5	1409.4	12	4.4	400
10.7	21.6	1194	12	4.2	400
0	24.8	979.7	12	4.5	400
4	22.3	1178.2	12	4.3	400
2.9	23.3	1086.2	12	4.4	400
9.2	21.9	1111.6	12	4.3	400
22.3	20.7	1150.1	12	4.2	400
0	26.6	1191.9	12	4.6	400
0	23.6	1321.1	12	4.4	400
0.2	21.9	1237.9	12	4.3	400
11.8	23.4	1348.1	12	4.4	400
5.3	26	1018.6	12	4.6	400
14.2	23.4	1177.3	12	4.4	400
0	23	1240.9	12	4.4	400
7.4	23.5	1253.9	12	4.4	400
0	23.9	1132.4	12	4.5	400
6.9	23.8	1089.1	12	4.5	400
0	28.6	1101.8	12	4.8	400
0	23.6	996.1	12	4.4	400
0	24.6	1037.7	12	4.5	400
0	22.3	1374.2	12	4.3	400
12.3	22.5	1536.7	12	4.4	400
17.2	27.8	974.8	12	4.7	400
13.5	22	1241.1	12	4.3	400
1.5	25.2	1333.3	12	4.6	400
3.1	18.8	1182	12	4.1	400
0	24.2	1202.5	12	4.5	400
0	20.2	1158.1	12	4.2	400
4	25.9	986.1	12	4.6	400
0	23.7	1085.3	12	4.5	400
0	23.3	1362.5	12	4.4	400
0	20.6	968.3	12	4.2	400
3.5	24.4	1131.9	12	4.5	400
1.6	22	1172.1	12	4.3	400
0	22	1229.2	12	4.3	400
6.2	22.5	1435.7	12	4.4	400
0	24	1133.9	12	4.5	400
33.8	23.3	1144.4	12	4.4	400
38	23.3	1325.8	12	4.4	400
0	22.4	1096.1	12	4.4	400
58.9	18.4	1253.7	12	4	400
0	23.1	1020	12	4.4	400
6.9	25.9	1190	12	4.6	400
10.3	22.1	1223.3	12	4.3	400
4.4	23.2	1037.7	12	4.4	400
0	20.5	1190	12	4.2	400
18.2	25.1	869.5	12	4.5	400
0	23	1342.5	12	4.4	400
15	21	928.6	12	4.2	400
20.8	26.3	1047.5	12	4.6	400
0	21.3	1214.4	12	4.3	400
43.4	26.9	1206	12	4.7	400
0	25.7	1010.4	12	4.6	400
0	19.5	1074.1	12	4.1	400
42.8	28.4	1083	12	4.8	400
59.5	23.4	969.3	12	4.4	400
0	25.1	1189.2	12	4.5	400
2.4	21.6	1229.9	12	4.3	400
17.4	22.5	1089.1	12	4.3	400
0	21.3	1244.4	12	4.2	400
0	24.3	1373	12	4.5	400
0	24.8	1020.4	12	4.5	400
0	26.4	1045.3	12	4.6	400
5.6	26.8	1152.1	12	4.6	400
0	23.7	1178.6	12	4.4	400
20.1	23.4	1087.4	12	4.4	400
15.6	20.4	1324.2	12	4.1	400
0	23	1099.9	12	4.3	400
72.1	24.3	1165	12	4.4	400
0	22.5	1144.6	12	4.3	400
4.6	21.8	1040.4	12	4.2	400
19	20.6	1067.1	12	4.1	400
16.8	22.2	1242.8	12	4.2	400
9.7	22.4	1099.9	12	4.2	400
0	27.2	1151.3	12	4.6	400
12.3	28.7	1135.9	12	4.7	400
0	21.5	1094	12	4.2	400
7.1	19.9	1109.6	12	4	400
0	25	1011.8	12	4.4	400
3.7	22.8	1315.1	12	4.2	400
0	26.1	1155	12	4.5	400
40.7	23.8	1169.7	12	4.3	400
17.7	22.7	1107.8	12	4.2	400
0	19.1	1371.4	12	3.9	400
0	24	1054.4	12	4.3	400
12.2	24.9	1063.5	12	4.3	400
0	27.3	1146.9	12	4.5	400
24.5	23.7	1234.8	12	4.2	400
0	22.2	1280.2	12	4.1	400
2.1	23.8	1216.7	12	4.2	400
10.4	24.6	930.4	12	4.3	400
34.4	24.6	1274	12	4.3	400
0	23.7	1184.2	12	4.2	400
14.2	24.3	1160.9	12	4.2	400
0	27.9	1076.9	12	4.4	400
29.6	23.2	997.2	12	4.1	400
54.3	21.6	1085.5	12	4	400
8.7	23.5	1068.3	12	4.1	400
4.9	24.8	1050.4	12	4.2	400
0	24	1021.5	12	4.1	400
0	24.3	963.1	12	4.1	400
20.3	21.8	899.9	12	3.9	400
0	21.2	1129.4	12	3.9	400
70.1	26.1	1107.9	12	4.2	400
2.1	28.2	961.6	12	4.3	400
0	29.2	905.5	12	4.4	400
22.3	25.3	1121.5	12	4.1	400
0	27	904.9	12	4.2	400
5.1	25.5	1004.1	12	4.1	400
0	23.7	907.8	12	4	400
7.7	23.3	1192	12	3.9	400
0	21.1	974.5	12	3.7	400
26.1	25	964.2	12	4	400
0	23.6	1124.3	12	3.9	400
0	25.6	1048	12	4	400
10.3	20.1	887.8	12	3.6	400
3.1	24.6	1039.3	12	3.9	400
0	24.8	932	12	3.9	400
19.3	22.4	1068.2	12	3.7	400
16.7	20.9	1009.4	12	3.6	400
35.4	26.4	1157.1	12	3.9	400
95.5	25.4	845.7	12	3.9	400
0	28.1	1068.9	12	4	400
32.7	20.9	844.6	12	3.5	400
0	26.4	938.1	12	3.9	400
11.4	22.4	958.8	12	3.6	400
0	25.5	1107	12	3.8	400
0	26.4	1090.3	12	3.8	400
0.1	20.5	1199.5	12	3.4	400
42.5	22.6	1015.9	12	3.5	400
3.6	23.7	1008.4	12	3.6	400
0	25.7	977.7	12	3.7	400
46.5	24.2	898.4	12	3.6	400
0	24	887.5	12	3.6	400
1	23.8	733.2	12	3.5	400
37.5	25	1016.6	12	3.6	400
0	22.2	993.6	12	3.4	400
5.8	22.6	1112.7	12	3.4	400
0	22.5	917.6	12	3.4	400
14.2	24.2	788.3	12	3.5	400
2.8	23.5	915.5	12	3.4	400
7.4	25	1033.9	12	3.5	400
0.3	22.7	912.9	12	3.3	400
0	18.1	1109.5	12	3	400
5.7	25.1	855.3	12	3.4	400
4.5	26	964.1	12	3.4	400
0	27.6	855.6	12	3.5	400
0	20.7	1097.1	12	3.1	400
25.9	22.7	609	12	3.2	400
14.1	28.6	1022	12	3.5	400
15.8	20.8	900.9	12	3.1	400
0	24.4	905	12	3.2	400
4.2	25.7	797.3	12	3.3	400
19.4	19.4	807.9	12	2.9	400
8.4	23.8	792.9	12	3.2	400
23.1	24.4	954.3	12	3.2	400
51.6	18.5	971.5	12	2.8	400
0	24	898.1	12	3.1	400
6.5	21.9	971.4	12	3	400
0	20.1	931.6	12	2.9	400
0.3	27.7	843.2	12	3.2	400
41.3	25.3	873.6	12	3.1	400
16.9	21.9	901.1	12	2.9	400
60.7	23.4	898.2	12	3	400
0	26.6	787.2	12	3.1	400
0	24.2	808.7	12	3	400
46.5	25.2	924.9	12	3	400
0	24.3	671	12	3	400
10	25.8	842	12	3	400
0	23.9	924.8	12	2.9	400
0	23.8	983.4	12	2.9	400
4.4	25.3	887.2	12	2.9	400
0	22.7	680	12	2.8	400
0	21.5	900.4	12	2.7	400
29.7	20.8	860.9	12	2.7	400
6.9	23.3	834.3	12	2.8	400
0	26.5	846.8	12	2.9	400
0	28.6	753.7	12	3	400
22.8	24.3	778.2	12	2.8	400
35.7	28.1	894.3	12	3	400
24.1	25.7	971.4	12	2.8	400
0.3	22.4	873.3	12	2.7	400
0	22.8	883.1	12	2.7	400
8.4	25	665.6	12	2.8	400
14.7	27.6	828.3	12	2.9	400
5.4	22.7	710.9	12	2.6	400
0	23.6	851.6	12	2.7	400
41.5	25.9	816.2	12	2.8	400
0	21.4	910.6	12	2.5	400
6.3	22	899.5	12	2.6	400
0	24.2	834.6	12	2.7	400
3.6	25.7	879.4	12	2.7	400
7.7	19.8	770.1	12	2.4	400
31.1	24.9	875.1	12	2.7	400
6.4	21.9	781.1	12	2.5	400
0	24.5	918.3	12	2.6	400
31.9	22	762.5	12	2.5	400
1.5	22.8	889.8	12	2.5	400
0	25.4	840.3	12	2.7	400
0	29.1	763.7	12	2.8	400
3.4	17.7	930.7	12	2.3	400
0	23.8	895.5	12	2.6	400
8.5	22.2	786.2	12	2.5	400
13.7	25.5	765.7	12	2.6	400
0	23.4	966.6	12	2.5	400
7	25.2	856.1	12	2.6	400
0	20.2	857.1	12	2.4	400
10.2	25.2	777.7	12	2.6	400
14.2	27	784.5	12	2.7	400
52.1	24.6	791.5	12	2.6	400
0	22.9	917.1	12	2.5	400
