rain[mm]	 temperature[°C]	 irradiance[mümol/s/m2]	 day_length[h]	 PET[mm]	co2[ppm]
0	25.2	783.9	12	2.6	400
55	25.9	688.6	12	2.7	400
0	25.2	743.6	12	2.6	400
0	22.2	793	12	2.5	400
4.1	24.5	669.8	12	2.6	400
35.5	23.9	772	12	2.6	400
6	26.7	779.9	12	2.7	400
0	25.8	1014.3	12	2.6	400
0	21.8	902.5	12	2.5	400
2.3	23.9	634.6	12	2.6	400
5.6	26.4	742.1	12	2.7	400
14.2	23.3	664.8	12	2.5	400
0	22.4	805.3	12	2.5	400
0	26.9	866.3	12	2.7	400
4.6	25	817.5	12	2.6	400
56.5	21.9	984.2	12	2.5	400
3.5	27	824.5	12	2.7	400
7.5	27.6	814.6	12	2.7	400
0	23.8	665.2	12	2.6	400
23.5	20.5	757.9	12	2.4	400
9.5	21.5	635.5	12	2.5	400
0	24.7	740.3	12	2.6	400
10.6	28.8	872	12	2.8	400
7.2	20.3	854.7	12	2.4	400
0	22.7	687.5	12	2.5	400
18.8	24.7	985.5	12	2.6	400
0	25.5	698.8	12	2.7	400
9.5	23.9	741.8	12	2.6	400
0	25.3	746.3	12	2.7	400
36.5	21.5	950.3	12	2.5	400
0	25.1	959.6	12	2.7	400
0	26.6	650.3	12	2.8	400
0	24.3	821	12	2.7	400
0.7	24.2	910.4	12	2.7	400
13	25.6	776.7	12	2.8	400
11.4	22.7	737.5	12	2.6	400
1.2	25.7	763.7	12	2.8	400
2.9	24.4	730	12	2.7	400
0.2	19.9	746.4	12	2.5	400
0	23.1	769.1	12	2.7	400
0	28.6	673.2	12	3	400
0	26.4	987.1	12	2.9	400
0	25.6	842.4	12	2.9	400
0	25.4	790.7	12	2.9	400
2.8	24.3	949	12	2.8	400
0	24.1	844.2	12	2.8	400
5.5	17.4	993.3	12	2.5	400
6.1	25.2	907.6	12	2.9	400
2.3	25.5	1058	12	2.9	400
0.1	21.9	814.3	12	2.8	400
6.1	25.2	940.4	12	3	400
1.2	26.4	869.2	12	3	400
31.6	25.3	939.3	12	3	400
4.8	21.1	903.1	12	2.8	400
11	24.2	838	12	3	400
0	25.4	850.3	12	3	400
0.8	24.2	976.4	12	3	400
2	25.8	917.2	12	3.1	400
2.2	21.6	751.8	12	2.9	400
4.3	20.4	950.5	12	2.8	400
13.6	24	832	12	3.1	400
20.7	27.9	691.9	12	3.3	400
2.6	26.2	990.1	12	3.2	400
0	25.7	854.7	12	3.2	400
24.1	22.3	804.1	12	3	400
0	27	718.6	12	3.3	400
15.2	26.7	908.8	12	3.3	400
0	21.6	925.7	12	3	400
9.3	27.5	1034.4	12	3.4	400
35	22	865.3	12	3.1	400
0	25.8	960.2	12	3.3	400
10.4	21.3	1016	12	3.1	400
0	24.8	763.1	12	3.3	400
10.8	22.1	884.4	12	3.2	400
8.8	24.5	1024.6	12	3.3	400
46.5	22.9	886.1	12	3.3	400
1.9	24.5	910.3	12	3.4	400
0	23.8	854	12	3.3	400
19.4	23.6	727.9	12	3.4	400
4.8	24.3	949.8	12	3.4	400
26.7	22.9	1007.4	12	3.3	400
5.2	22	944.7	12	3.3	400
10.4	24.9	791.2	12	3.5	400
2.9	17.6	1146.9	12	3.1	400
0	27.5	692.1	12	3.7	400
0	25.3	966.4	12	3.6	400
1.4	27.6	896.5	12	3.7	400
0	25.7	966.5	12	3.6	400
3	24.6	999.3	12	3.6	400
0	23.8	1017.3	12	3.6	400
8	24.4	1022	12	3.6	400
1.6	25.4	924.9	12	3.7	400
0	21	855.4	12	3.4	400
19.7	23.8	1135.7	12	3.6	400
0	24.6	1093.4	12	3.7	400
23.6	21.7	1209.1	12	3.5	400
0	23.9	794.3	12	3.7	400
0	25	1138.5	12	3.8	400
4.8	24	1139.3	12	3.7	400
2.7	21.2	862.2	12	3.6	400
2.4	25.3	976.2	12	3.9	400
0	26.4	981.9	12	3.9	400
10.9	27.8	1030.6	12	4	400
0	23	881.7	12	3.8	400
29.3	24.7	1220	12	3.9	400
0	23	1146.1	12	3.8	400
0	20.7	957.3	12	3.6	400
0	22.9	915.3	12	3.8	400
2.3	23.1	1147.3	12	3.8	400
10.1	26	1085.3	12	4	400
0	27.2	1064	12	4.1	400
0	26.2	1102.3	12	4.1	400
8.8	26.4	1324.4	12	4.1	400
4.5	25.6	1097.3	12	4.1	400
0	25.7	950.9	12	4.1	400
0	22.7	1160.2	12	3.9	400
34.8	23.4	930.1	12	4	400
19.5	25.6	1312.4	12	4.1	400
5.7	24.8	1037.6	12	4.1	400
0	21.2	977.9	12	3.9	400
20.8	24	1318.6	12	4.1	400
0	23.6	957.4	12	4.1	400
3.8	22.3	974.8	12	4	400
0	24.7	1017	12	4.2	400
0	28.4	994	12	4.4	400
26.8	23.6	1080.2	12	4.1	400
0	22.8	1250	12	4.1	400
0	24.3	921.1	12	4.2	400
13.1	24.6	992.3	12	4.2	400
10	27.7	1045.3	12	4.4	400
0	20	1114	12	3.9	400
17.5	19.4	1021.8	12	3.9	400
0	24	1155.1	12	4.2	400
0	28.1	1042.2	12	4.5	400
5.6	28.5	1000.4	12	4.5	400
0	21.2	1043.6	12	4	400
26.2	23.8	1175.3	12	4.2	400
0	20	1137.5	12	4	400
11.2	23.9	1125.8	12	4.3	400
11.5	25.7	1065.8	12	4.4	400
0	29.7	998.9	12	4.7	400
5.2	26.3	1211.5	12	4.5	400
0	28.4	1073.9	12	4.6	400
0	24.1	1243.3	12	4.3	400
9.3	26.8	1125.6	12	4.5	400
18.4	25.7	1127.9	12	4.4	400
0	20.5	1003.2	12	4.1	400
32.4	25.2	1282.1	12	4.4	400
0	27.3	1276.7	12	4.6	400
0	24.6	1144.3	12	4.4	400
1.2	25.5	1253.1	12	4.5	400
0	21.6	1073.8	12	4.2	400
26.5	22.7	1138.6	12	4.3	400
2	25.4	1392	12	4.5	400
12.7	24.9	1226.7	12	4.4	400
0	25.7	1114.5	12	4.5	400
3.2	24.9	1250	12	4.5	400
0	25	1221.5	12	4.5	400
1.5	21	1087.2	12	4.2	400
0	24.1	1154.3	12	4.4	400
0.1	24.6	1062.5	12	4.5	400
4.1	23.5	1265	12	4.4	400
15.8	21.9	1238.9	12	4.3	400
4	21	1192.5	12	4.2	400
0	26.2	1358.7	12	4.6	400
0	22.6	1019	12	4.3	400
10.6	25.7	1318.5	12	4.6	400
39.9	23.2	1185.1	12	4.4	400
0	24.5	1232.7	12	4.5	400
4.8	22.4	1272.1	12	4.3	400
0	27.1	1078.4	12	4.7	400
28.2	19.6	1222.4	12	4.1	400
7.8	20.9	1114.3	12	4.2	400
0	22.4	1193.5	12	4.3	400
0	24.9	1286.4	12	4.5	400
4.8	25.2	1113	12	4.5	400
0	26.5	1168.8	12	4.6	400
0	24.9	1247.6	12	4.5	400
11.8	23.6	1160.6	12	4.4	400
0.3	27.8	919.4	12	4.7	400
5.6	20.6	1233.9	12	4.2	400
0	22.4	989.7	12	4.3	400
0	22.8	1293.2	12	4.4	400
1.2	27	1019.9	12	4.7	400
0	27.9	1237.3	12	4.7	400
29	19.7	1157.6	12	4.1	400
0	22.9	1201	12	4.4	400
0	23.7	971.1	12	4.5	400
47.8	22.6	1257.4	12	4.4	400
0	23.4	1218.3	12	4.4	400
15.6	24.1	1299.8	12	4.5	400
0	23.6	1123.3	12	4.4	400
44.2	24	1103.9	12	4.5	400
6.7	22	1103.5	12	4.3	400
28.5	25.1	1287.4	12	4.6	400
0	23.9	1244	12	4.5	400
48	22.4	1096.7	12	4.4	400
0	24.3	1150.1	12	4.5	400
8.5	26.7	1162.5	12	4.7	400
8.3	24.4	1176.4	12	4.5	400
0	27	1167	12	4.7	400
25.5	23.5	1201.4	12	4.4	400
0	18.7	1163.5	12	4.1	400
5.7	21.2	1258.4	12	4.3	400
0	22.8	1157.9	12	4.4	400
12.1	21.5	1147.9	12	4.3	400
1.4	26.3	1230.9	12	4.6	400
0	20.2	1186.4	12	4.2	400
0	25.6	1122.4	12	4.6	400
21.1	25.7	1104.2	12	4.6	400
0	21	1186.8	12	4.2	400
0	25.7	1269.2	12	4.6	400
38.2	24.5	1262.8	12	4.5	400
0	28.6	1111.3	12	4.8	400
14.2	23.8	1034.1	12	4.4	400
44	25.7	1057.7	12	4.6	400
25.2	20.7	1276.7	12	4.2	400
9	23.3	1314.1	12	4.4	400
0	25.9	1368.3	12	4.6	400
3.9	21.3	1306	12	4.2	400
0	23.9	1013.5	12	4.4	400
15.3	21.5	1310.3	12	4.2	400
0	25.1	1068.6	12	4.5	400
13.8	23	1301.1	12	4.4	400
6	25.3	885.2	12	4.5	400
39.6	20.9	1160	12	4.2	400
32.1	27.4	1027.5	12	4.7	400
0	18.7	1294.7	12	4	400
24.5	27.1	976.4	12	4.6	400
6	21.4	1201.5	12	4.2	400
23	22	1130.7	12	4.3	400
38.5	24.9	907.8	12	4.5	400
7.7	19.7	1224.5	12	4.1	400
5.1	25.6	1054.8	12	4.5	400
0	24.9	1150.3	12	4.4	400
0	21.3	946.2	12	4.2	400
74.1	23.7	1133.8	12	4.3	400
0	23.8	1086.6	12	4.3	400
72.6	21	1268.2	12	4.1	400
0	21	1232.4	12	4.1	400
0	22	1229.5	12	4.2	400
9.7	21.1	1066.4	12	4.1	400
28.3	24.8	1088.9	12	4.4	400
